Serial,State,2020 Census
1,California,39538223
2,Texas,29145505
3,Florida,21538187
4,New York,20201249
5,Pennsylvania,13002700
6,Illinois,12801989
7,Ohio,11799448
8,Georgia,10711908
9,North Carolina,10439388
10,Michigan,10077331
11,New Jersey,9288994
12,Virginia,8631393
13,Washington,7705281
14,Arizona,7151502
15,Massachusetts,7029917
16,Tennessee,6910840
17,Indiana,6785528
18,Maryland,6177224
19,Missouri,6154913
20,Wisconsin,5893718
21,Colorado,5773714
22,Minnesota,5706494
23,South Carolina,5118425
24,Alabama,5024279
25,Louisiana,4657757
26,Kentucky,4505836
27,Oregon,4237256
28,Oklahoma,3959353
29,Connecticut,3605944
30,Utah,3205958
31,Iowa,3271616
32,Nevada,3104614
33,Arkansas,3011524
34,Mississippi,2961279
35,Kansas,2937880
36,New Mexico,2117522
37,Nebraska,1961504
38,Idaho,1839106
39,West Virginia,1793716
40,Hawaii,1455271
41,New Hampshire,1377529
42,Maine,1362359
43,Rhode Island,1097379
44,Montana,1084225
45,Delaware,989948
46,South Dakota,886667
47,North Dakota,779094
48,Alaska,733391
49,DC,689545
50,Vermont,643077
51,Wyoming,576851
52,Northern Mariana Islands,57557
53,Puerto Rico ,3194000
54,District of Columbia,692683
55,Guam,168783
56,American Samoa ,55197
